Word,Cluster,X,Y,new_cluster
연휴,5,14.69575,0.06141786,13
집중,5,13.557628,0.38422367,13
느낌,4,28.99651,-0.20039758,17
연말,11,18.455938,0.0044786027,14
초가을,0,-25.644632,-0.3261756,1
힙,4,28.933468,-0.08274341,17
포크,3,-9.808585,0.13707271,5
블루스,3,-10.0091715,0.13858373,5
해변,19,2.3986855,0.2180134,9
오디션,6,-0.38434166,0.22426708,8
고백,14,-2.20866,0.21450926,7
기,1,22.607578,0.057431128,15
외출,8,9.428624,0.35752583,12
분업,1,19.09372,-0.03341799,15
장르,8,9.795204,0.6062683,12
세대,16,5.264616,0.20886165,11
생활,16,6.079288,0.19823128,11
의사,16,5.2058415,0.20150413,11
슬기,16,6.6999917,0.19315772,11
노랫말,13,-19.396263,-0.23388265,2
선선,6,-1.6793426,0.2176769,8
바다,2,3.1802175,0.38137338,10
눈,19,2.4019113,0.21322167,9
그룹,13,-19.876303,0.17163272,2
안개,17,-6.833296,0.29063722,6
댄서블,2,3.605703,0.39603952,10
설,8,9.034551,-0.11586211,12
쓸쓸,13,-20.015581,-0.18107009,2
보컬,3,-7.7321362,0.18390745,5
여유,6,-0.512729,0.2844486,8
뉴에이지,16,5.430915,0.21303712,11
우울,7,-16.620386,0.009896061,3
섹시,5,13.580246,0.22842304,13
청소,14,-4.6944194,0.20457672,7
힘듦,8,8.987345,-0.017998444,12
토크쇼,11,17.09076,0.18904696,14
지침,8,9.531098,-0.10200272,12
콕,8,8.530499,0.15413794,12
편집,5,14.009441,0.09398007,13
샵,11,16.097158,0.037999988,14
중독,2,4.3976827,0.27073562,10
몰입,17,-5.745676,0.17693052,6
세련,5,13.154971,-0.07377152,13
