Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
Wishlist (Feat. 죠지),Cosmic Boy,여름에도 그루브 타는 플레이리스트,"R&B/소울, 편안한, 스타플레이리스트, 인디, 자전거, 2010년대, 국내음악, 오늘의선곡, 밤, 외로움","[16, 15, 15, 13, 15, 15, 14, 10, 16, 11, 13, 12, 12, 8, 5, 7, 2]",11.705882352941176,3.966991835314674
With,마이 앤트 메리 (My Aunt Mary),기분 좋은 하루를 선사할 청춘 플레이리스트,"오늘의선곡, 운동, 밝은, 인디","[15, 15, 15, 10, 8]",12.6,3.006659275674582
With Chocolate,브라운 아이드 소울,추억이 새록새록 떠오르는 싸이월드 BGM,"추억, 30대, 추억의, 20대","[16, 5]",10.5,5.5
With Coffee...,브라운 아이즈,매년 가을이면 떠오르는 아련한 감성의 Music ♪,"감성, 감성발라드, 아련한, 발라드, 기분전환","[16, 18, 15, 9, 2, 15, 7]",11.714285714285714,5.390846361175202
With Me,휘성 (Realslow),지금 걷고 있는 산책로의 끝엔 코인노래방이 있다,"이별, 국내음악, 출/퇴근길, 발라드, 산책, 가요, 그리움, 걷기","[16, 13, 9, 16, 15, 16, 14, 9, 6, 10, 15, 3, 2]",11.076923076923077,4.7952145770796
With U,Jazzinuf,빈티지 ᴮᴳᴹ 감성 뿜뿜 플리 ⋆⁺₊⋆,"Lofi, 독서, 휴식, 잔잔한, 집중","[17, 16, 17, 13, 9]",14.4,3.0724582991474434
With You,Chris Brown,없던 사랑도 싹트게 할 두근두근 알앤비 플레이리스트,"R&B/소울, 설렘, Pop, 오늘의선곡, 00년대, 감성, 발렌타인데이, 사랑, 추억, 팝송","[15, 15, 16, 15, 17, 16, 14, 16, 8, 12, 1, 5, 5, 2]",11.214285714285714,5.544348105807151
With You,Kaskade & Meghan Trainor,꿉꿉함은 저 멀리 날려줄 시원 뽀송 플레이리스트!,"드라이브, 해외음악, 오늘의선곡, 휴가/여행, 기분전환, 2010년대","[16, 16, 18, 17, 15, 15, 17, 15, 15, 8, 15, 5, 7, 2, 1]",12.133333333333333,5.619806244188693
With You,Mariah Carey,가을의 고즈넉한 감성이 흐르는 POP,"POP, 저녁, 2010년대, 해외음악, 산책, 오늘의선곡","[16, 15, 15, 17, 16, 14, 8, 5]",13.25,4.054318685056714
With You This Christmas,Why Don't We,크리스마스 캐롤 BEST 인기곡 모음,"연말, 캐롤, 매장음악, 성탄절, 겨울, 차트, 크리스마스","[16, 16, 17, 18, 19, 14, 10]",15.714285714285714,2.762725657973388
